Index,psnr,lpips,ssim
000000,16.751949310302734,0.255859375,0.6761018633842468
000001,11.501730918884277,0.482421875,0.533624529838562
000002,16.42333221435547,0.2421875,0.6803414225578308
000003,18.21870994567871,0.1689453125,0.7037400603294373
000004,17.96712303161621,0.17578125,0.6968820095062256
000005,20.161447525024414,0.1552734375,0.7556029558181763
000006,21.695636749267578,0.126953125,0.8538252115249634
000007,19.55415153503418,0.232421875,0.7793670892715454
000008,19.965415954589844,0.1962890625,0.8000349998474121
000009,25.315357208251953,0.068359375,0.9005273580551147
000010,25.699193954467773,0.0712890625,0.9078232049942017
000011,24.663198471069336,0.1494140625,0.8464748859405518

average,19.82643723487854,0.19376627604166666,0.7611954659223557
