object,view,step,envmap,psnr,ssim,lpips
ClassicConsole_01,00041,19,ClassicConsole_01_env_1,9.582123,0.5454460978507996,0.6908973455429077
ClassicNightstand_01,00045,0,ClassicNightstand_01_env_2,27.3026,0.8992946147918701,0.07327059656381607
ClassicNightstand_01,00045,1,ClassicNightstand_01_env_0,22.953793,0.8778578639030457,0.11015240848064423
ClassicNightstand_01,00045,2,ClassicNightstand_01_env_2,22.857307,0.8544516563415527,0.12828534841537476
ClassicNightstand_01,00045,3,ClassicNightstand_01_env_2,23.902916,0.850120484828949,0.14870555698871613
ClassicNightstand_01,00045,4,ClassicNightstand_01_env_0,21.402388,0.7904093265533447,0.20710721611976624
ClassicNightstand_01,00045,5,ClassicNightstand_01_env_0,19.876043,0.7512456774711609,0.2577371895313263
ClassicNightstand_01,00045,6,ClassicNightstand_01_env_2,18.50237,0.738061785697937,0.28021475672721863
ClassicNightstand_01,00045,7,ClassicNightstand_01_env_1,16.671799,0.6765683889389038,0.31794896721839905
ClassicNightstand_01,00045,8,ClassicNightstand_01_env_2,17.062834,0.6911301612854004,0.34553244709968567
ClassicNightstand_01,00045,9,ClassicNightstand_01_env_2,16.594183,0.6835455894470215,0.36264854669570923
ClassicNightstand_01,00045,10,ClassicNightstand_01_env_2,16.05624,0.6759278774261475,0.37733787298202515
ClassicNightstand_01,00045,11,ClassicNightstand_01_env_2,15.524826,0.6678786277770996,0.3910304009914398
ClassicNightstand_01,00045,12,ClassicNightstand_01_env_0,13.448393,0.6194223165512085,0.4299187660217285
ClassicNightstand_01,00045,13,ClassicNightstand_01_env_2,14.176148,0.6293532848358154,0.4191654920578003
ClassicNightstand_01,00045,14,ClassicNightstand_01_env_1,12.769592,0.5928523540496826,0.418884813785553
ClassicNightstand_01,00045,15,ClassicNightstand_01_env_0,12.191506,0.5917328596115112,0.4509219229221344
ClassicNightstand_01,00045,16,ClassicNightstand_01_env_1,12.130452,0.5737863183021545,0.4406503438949585
ClassicNightstand_01,00045,17,ClassicNightstand_01_env_1,11.795354,0.5654542446136475,0.4529480040073395
ClassicNightstand_01,00045,18,ClassicNightstand_01_env_1,11.486862,0.558617889881134,0.4639308452606201
ClassicNightstand_01,00045,19,ClassicNightstand_01_env_1,11.181923,0.5524448752403259,0.47409144043922424
CoffeeTable_01,00047,0,CoffeeTable_01_env_2,24.98762,0.9349840879440308,0.05481632053852081
CoffeeTable_01,00047,1,CoffeeTable_01_env_0,25.654121,0.9354769587516785,0.05822410807013512
CoffeeTable_01,00047,2,CoffeeTable_01_env_2,25.587473,0.9318281412124634,0.06543874740600586
CoffeeTable_01,00047,3,CoffeeTable_01_env_2,25.025442,0.9261574149131775,0.0778283178806305
CoffeeTable_01,00047,4,CoffeeTable_01_env_0,24.366686,0.9202984571456909,0.09025353193283081
CoffeeTable_01,00047,5,CoffeeTable_01_env_0,23.598516,0.913935661315918,0.10280756652355194
CoffeeTable_01,00047,6,CoffeeTable_01_env_2,22.781733,0.9064933061599731,0.11446734517812729
CoffeeTable_01,00047,7,CoffeeTable_01_env_1,18.251003,0.871757984161377,0.1488558053970337
CoffeeTable_01,00047,8,CoffeeTable_01_env_2,19.67141,0.8722581267356873,0.14763781428337097
CoffeeTable_01,00047,9,CoffeeTable_01_env_2,19.090141,0.8605923652648926,0.16302888095378876
CoffeeTable_01,00047,10,CoffeeTable_01_env_2,18.471897,0.8471806049346924,0.1841535121202469
CoffeeTable_01,00047,11,CoffeeTable_01_env_2,17.888096,0.833209216594696,0.20630420744419098
CoffeeTable_01,00047,12,CoffeeTable_01_env_0,17.35646,0.8196440935134888,0.22933512926101685
CoffeeTable_01,00047,13,CoffeeTable_01_env_2,16.889198,0.8079699277877808,0.2513608932495117
CoffeeTable_01,00047,14,CoffeeTable_01_env_1,14.902168,0.7798457145690918,0.3090648651123047
CoffeeTable_01,00047,15,CoffeeTable_01_env_0,15.500536,0.775413453578949,0.30735552310943604
CoffeeTable_01,00047,16,CoffeeTable_01_env_1,13.989755,0.755189836025238,0.360097199678421
CoffeeTable_01,00047,17,CoffeeTable_01_env_1,13.586679,0.7442020773887634,0.38261404633522034
CoffeeTable_01,00047,18,CoffeeTable_01_env_1,13.293109,0.7342433333396912,0.39837783575057983
CoffeeTable_01,00047,19,CoffeeTable_01_env_1,13.06107,0.7250919342041016,0.40966835618019104
Drill_01,00074,0,Drill_01_env_2,31.418919,0.9644118547439575,0.018273472785949707
Drill_01,00074,1,Drill_01_env_0,27.384537,0.9303233623504639,0.03972744569182396
Drill_01,00074,2,Drill_01_env_2,27.981508,0.9421377182006836,0.04049227014183998
Drill_01,00074,3,Drill_01_env_2,27.017311,0.9316790103912354,0.05422769486904144
Drill_01,00074,4,Drill_01_env_0,24.864418,0.9039461016654968,0.07797886431217194
Drill_01,00074,5,Drill_01_env_0,24.105036,0.8944534063339233,0.09001810848712921
Drill_01,00074,6,Drill_01_env_2,23.936707,0.8942984342575073,0.10060428828001022
Drill_01,00074,7,Drill_01_env_1,22.457924,0.8654192686080933,0.13211368024349213
Drill_01,00074,8,Drill_01_env_2,21.599447,0.8520011901855469,0.18424424529075623
Drill_01,00074,9,Drill_01_env_2,19.587934,0.8155460357666016,0.27087169885635376
Drill_01,00074,10,Drill_01_env_2,17.557293,0.7787812948226929,0.34673354029655457
Drill_01,00074,11,Drill_01_env_2,16.322563,0.7528350353240967,0.3936011791229248
Drill_01,00074,12,Drill_01_env_0,15.458766,0.725752055644989,0.4342532455921173
Drill_01,00074,13,Drill_01_env_2,14.758206,0.7135738134384155,0.46536046266555786
Drill_01,00074,14,Drill_01_env_1,14.122014,0.6930915713310242,0.4887256622314453
Drill_01,00074,15,Drill_01_env_0,13.620976,0.6819740533828735,0.5046613216400146
Drill_01,00074,16,Drill_01_env_1,13.122764,0.6711100339889526,0.5181722044944763
Drill_01,00074,17,Drill_01_env_1,12.669773,0.6611542701721191,0.528243899345398
Drill_01,00074,18,Drill_01_env_1,12.2782345,0.6523813009262085,0.5369873046875
Drill_01,00074,19,Drill_01_env_1,11.919554,0.6445319652557373,0.5438213348388672
GothicBed_01,00002,0,GothicBed_01_env_2,25.99721,0.9380354285240173,0.05992773175239563
GothicBed_01,00002,1,GothicBed_01_env_0,26.178291,0.9248480796813965,0.08878453075885773
GothicBed_01,00002,2,GothicBed_01_env_2,23.326492,0.8908771276473999,0.12702882289886475
GothicBed_01,00002,3,GothicBed_01_env_2,21.548378,0.8654372096061707,0.1549989879131317
GothicBed_01,00002,4,GothicBed_01_env_0,20.343449,0.8421529531478882,0.20124289393424988
GothicBed_01,00002,5,GothicBed_01_env_0,19.189116,0.8315350413322449,0.2241644561290741
GothicBed_01,00002,6,GothicBed_01_env_2,16.810535,0.8116452693939209,0.25420746207237244
GothicBed_01,00002,7,GothicBed_01_env_1,16.35195,0.7908101081848145,0.2665961980819702
GothicBed_01,00002,8,GothicBed_01_env_2,14.429778,0.7666158676147461,0.3019005358219147
GothicBed_01,00002,9,GothicBed_01_env_2,13.753374,0.7508711814880371,0.3189467787742615
GothicBed_01,00002,10,GothicBed_01_env_2,13.120756,0.7356289625167847,0.33500421047210693
GothicBed_01,00002,11,GothicBed_01_env_2,12.484892,0.7203658819198608,0.3523418605327606
