scene_name,step,psnr,ssim,lpips,envmap_name
modern_coffee_table_01_env_2,18,12.560310,0.755463,0.213867,modern_coffee_table_01_white_env_0
modern_coffee_table_01_env_2,19,14.749199,0.791814,0.238281,modern_coffee_table_01_white_env_0
wooden_spoon_env_1,0,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,1,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,2,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,3,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,4,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,5,24.907717,0.968804,0.026978,wooden_spoon_env_0
wooden_spoon_env_1,6,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,7,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,8,24.726997,0.968238,0.026978,wooden_spoon_env_0
wooden_spoon_env_1,9,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,10,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,11,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,12,24.502174,0.967484,0.027344,wooden_spoon_env_0
wooden_spoon_env_1,13,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,14,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,15,24.363485,0.967052,0.027344,wooden_spoon_env_0
wooden_spoon_env_1,16,24.025837,0.965936,0.028076,wooden_spoon_env_0
wooden_spoon_env_1,17,23.820988,0.965243,0.028442,wooden_spoon_env_0
wooden_spoon_env_1,18,23.661144,0.964670,0.029053,wooden_spoon_env_0
wooden_spoon_env_1,19,25.242466,0.969871,0.026611,wooden_spoon_env_0
wooden_spoon_env_1,0,37.795761,0.995530,0.004700,wooden_spoon_env_2
wooden_spoon_env_1,1,37.795761,0.995530,0.004700,wooden_spoon_env_2
wooden_spoon_env_1,2,37.795761,0.995530,0.004700,wooden_spoon_env_2
wooden_spoon_env_1,3,37.795761,0.995530,0.004700,wooden_spoon_env_2
wooden_spoon_env_1,4,38.029434,0.995318,0.004883,wooden_spoon_env_2
wooden_spoon_env_1,5,37.795761,0.995530,0.004700,wooden_spoon_env_2
wooden_spoon_env_1,6,36.047153,0.993756,0.006470,wooden_spoon_env_2
wooden_spoon_env_1,7,36.047153,0.993756,0.006470,wooden_spoon_env_2
wooden_spoon_env_1,8,36.047153,0.993756,0.006470,wooden_spoon_env_2
wooden_spoon_env_1,9,30.542028,0.982873,0.012573,wooden_spoon_env_2
wooden_spoon_env_1,10,30.542028,0.982873,0.012573,wooden_spoon_env_2
wooden_spoon_env_1,11,26.540781,0.969511,0.018555,wooden_spoon_env_2
wooden_spoon_env_1,12,30.542028,0.982873,0.012573,wooden_spoon_env_2
wooden_spoon_env_1,13,26.150236,0.967381,0.019897,wooden_spoon_env_2
wooden_spoon_env_1,14,25.147705,0.961825,0.024170,wooden_spoon_env_2
wooden_spoon_env_1,15,22.990719,0.945681,0.043213,wooden_spoon_env_2
wooden_spoon_env_1,16,22.880362,0.945958,0.050781,wooden_spoon_env_2
wooden_spoon_env_1,17,21.832047,0.938956,0.068359,wooden_spoon_env_2
wooden_spoon_env_1,18,21.433037,0.937714,0.080078,wooden_spoon_env_2
wooden_spoon_env_1,19,20.968594,0.936731,0.088867,wooden_spoon_env_2
wooden_spoon_env_1,0,20.703529,0.938278,0.071289,wooden_spoon_white_env_0
